Salary,EngagementSurvey,EmpSatisfaction,Absences,WorkHoursPerWeek,StressLevelScore,SkillsAssessmentScore,ProjectsAssigned,Actual_Keep,Predicted_Keep,EmpID,AI_Explanation
61962.0,4.9,3.0,20,45.0,5.53,0.0,0.0,0,0,162,Profil stable.
118739.83,3.39,4.45,1,49.0,8.05,63.62,11.0,1,1,2545,Profil stable.
72319.99,2.56,2.57,6,41.0,7.65,91.58,6.0,1,0,20894,Profil stable.
62631.259999999995,3.1,4.05,18,47.0,7.97,70.44,16.0,0,1,13126,Profil stable.
112532.87999999999,1.36,3.21,8,50.0,6.9,81.59,4.0,0,0,46434,Profil stable.
48305.4,3.2,4.89,8,36.0,7.68,54.27,11.0,1,1,39014,Profil stable.
106425.2,4.2,3.0,18,51.0,6.92,67.18,4.0,1,1,50013,Profil stable.
99420.45999999999,4.45,3.88,18,49.0,7.45,54.23,3.0,0,1,37214,Profil stable.
60046.06999999999,1.03,2.83,10,34.0,8.47,51.42,8.0,0,0,3631,Profil stable.
80570.98,2.07,4.05,16,56.0,6.04,51.97,20.0,1,1,12240,Profil stable.
55175.71000000001,2.08,4.55,9,60.0,1.86,50.98,20.0,0,1,45410,Profil stable.
74631.66,1.58,1.02,1,38.0,2.93,59.11,5.0,0,0,35675,Profil stable.
108708.84,4.29,2.85,8,37.0,2.83,75.66,15.0,1,1,27354,Profil stable.
63746.090000000004,1.9,1.57,13,49.0,3.9,69.75,9.0,0,0,21518,Profil stable.
119508.79,3.71,1.86,10,31.0,3.58,70.99,10.0,1,1,4133,Profil stable.
59356.71,4.29,2.14,6,50.0,6.24,89.72,7.0,1,1,49257,Profil stable.
104722.84000000001,4.93,4.11,9,51.0,7.35,67.17,9.0,1,1,18619,Profil stable.
64879.87,3.84,3.05,1,40.0,2.38,88.04,16.0,1,1,47941,Profil stable.
66519.20999999999,4.33,2.73,8,48.0,9.81,78.05,19.0,1,1,49803,Profil stable.
97005.82,1.51,2.18,5,48.0,7.49,80.23,9.0,1,0,1543,Profil stable.
113257.2,2.04,4.05,8,31.0,2.88,89.33,10.0,0,1,42191,Profil stable.
52017.81,4.99,4.94,5,50.0,3.98,75.33,5.0,1,1,29661,Profil stable.
75282.02,1.42,2.75,12,31.0,6.26,71.2,20.0,0,1,49207,Profil stable.
127121.91,2.71,3.99,9,36.0,3.04,79.16,1.0,1,1,4125,Profil stable.
47258.97,1.48,2.96,13,32.0,9.28,87.1,18.0,1,1,34000,Profil stable.
107623.78,3.75,1.89,12,44.0,8.68,50.45,1.0,0,0,14497,Profil stable.
90321.64,2.84,2.11,11,45.0,4.64,70.61,5.0,0,0,46336,Profil stable.
127722.42,3.77,2.48,7,44.0,2.88,84.01,17.0,1,1,34153,Profil stable.
62957.84,3.91,3.75,19,51.0,2.54,79.04,1.0,0,1,36500,Profil stable.
117019.66,3.99,2.51,12,31.0,8.48,58.26,7.0,0,0,20645,Profil stable.
69498.01999999999,2.55,3.22,1,45.0,8.59,84.89,3.0,1,0,39313,Profil stable.
109299.28,4.25,4.55,3,60.0,1.64,73.19,18.0,0,1,17888,Profil stable.
118148.48000000001,1.13,2.54,19,59.0,8.34,77.72,18.0,0,0,19377,Profil stable.
122294.06,3.74,1.81,3,30.0,8.61,78.49,2.0,1,0,42613,Profil stable.
56688.950000000004,1.37,1.79,0,36.0,1.6,81.68,3.0,1,0,16714,Profil stable.
46366.86,2.98,2.47,4,31.0,1.03,53.5,5.0,0,0,6984,Profil stable.
47591.81,4.17,4.29,2,40.0,6.83,75.05,1.0,1,1,40553,Profil stable.
40230.54,1.15,3.29,3,44.0,3.95,62.26,7.0,0,0,45635,Profil stable.
127475.45,1.83,4.27,18,54.0,4.41,82.32,8.0,0,1,29507,Profil stable.
126022.23000000001,4.55,3.14,2,30.0,3.76,57.91,20.0,0,1,13338,Profil stable.
121174.73999999999,2.83,3.5,9,40.0,4.99,70.74,8.0,1,1,50303,Profil stable.
115656.98,2.4,4.21,19,41.0,6.5,60.52,18.0,1,1,44571,Profil stable.
121581.84999999999,1.71,3.79,6,42.0,3.75,90.8,2.0,0,1,37341,Profil stable.
127741.95000000001,3.0,2.52,1,42.0,1.04,82.96,12.0,1,1,36558,Profil stable.
105874.34,1.76,2.65,9,40.0,5.19,89.49,4.0,0,0,11846,Profil stable.
64401.78999999999,2.38,1.17,12,33.0,1.01,97.44,3.0,0,0,17132,Profil stable.
129179.42000000001,2.13,2.7,19,37.0,3.14,51.79,0.0,0,0,5258,Profil stable.
107706.39,3.24,1.52,11,58.0,3.62,53.29,19.0,1,1,31460,Profil stable.
78891.33,2.97,4.06,10,31.0,8.05,84.83,10.0,0,1,3245,Profil stable.
107356.34000000001,4.59,2.64,15,40.0,9.14,63.67,5.0,0,0,35572,Profil stable.
84524.03,2.45,1.65,16,32.0,9.14,84.0,2.0,0,0,35317,Profil stable.
103027.1,1.59,3.76,17,57.0,8.64,88.47,10.0,0,1,32101,Profil stable.
37696.15,4.14,1.8,17,39.0,7.61,66.96,0.0,0,0,7490,Profil stable.
70918.21,1.17,3.89,11,56.0,3.15,91.84,12.0,0,1,29886,Profil stable.
104891.8,1.38,1.53,20,42.0,2.97,77.7,10.0,1,0,34607,Profil stable.
95209.82999999999,1.1,1.15,1,34.0,2.07,92.18,5.0,1,0,26058,Profil stable.
53407.2,4.48,2.48,17,35.0,7.56,97.73,11.0,1,1,12791,Profil stable.
72027.8,4.17,3.49,0,46.0,8.64,71.48,5.0,1,1,21682,Profil stable.
102058.16,3.52,3.59,17,44.0,6.28,60.86,19.0,1,1,1003,Profil stable.
97880.63,1.92,4.28,19,36.0,3.59,64.63,11.0,1,1,19407,Profil stable.
62745.36,4.73,1.48,10,59.0,6.5,87.23,10.0,1,1,6582,Profil stable.
104592.3,2.42,1.92,18,37.0,6.83,69.26,8.0,0,0,5533,Profil stable.
108242.36,4.0,2.65,13,32.0,7.83,81.9,9.0,1,1,47528,Profil stable.
110345.14,2.69,2.53,13,30.0,2.9,71.57,16.0,0,1,21171,Profil stable.
42400.740000000005,1.44,1.43,2,35.0,8.19,56.28,16.0,1,0,48599,Profil stable.
75818.96,3.01,2.11,4,33.0,5.26,81.82,18.0,0,1,41024,Profil stable.
47425.350000000006,4.09,2.82,11,38.0,3.97,79.39,14.0,1,1,33890,Profil stable.
55305.909999999996,3.32,2.68,13,54.0,3.0,70.59,12.0,1,1,21127,Profil stable.
89556.54,1.87,4.49,18,45.0,4.25,87.64,13.0,0,1,35117,Profil stable.
50972.420000000006,3.16,2.91,8,44.0,5.99,95.68,17.0,1,1,18078,Profil stable.
124978.29999999999,3.44,3.11,0,49.0,7.44,75.24,9.0,1,1,34530,Profil stable.
63003.590000000004,4.14,3.46,8,54.0,8.42,94.19,8.0,0,1,42504,Profil stable.
114889.48,4.37,1.19,14,53.0,2.41,82.84,0.0,0,0,7563,Profil stable.
71153.47,1.17,4.15,7,60.0,1.42,83.77,16.0,0,1,14166,Profil stable.
73880.46,1.97,1.49,9,41.0,3.59,55.09,16.0,0,0,31634,Profil stable.
62928.95,4.0,3.43,13,41.0,6.03,69.55,12.0,1,1,31314,Profil stable.
44664.86,2.51,1.36,14,40.0,6.1,86.32,15.0,1,0,9389,Profil stable.
91164.53,1.7,1.28,10,46.0,2.5,91.91,1.0,0,0,17557,Profil stable.
75063.92,2.85,3.61,10,49.0,4.13,63.12,16.0,1,1,26216,Profil stable.
76795.59999999999,4.83,3.91,12,50.0,1.82,81.4,10.0,1,1,44748,Profil stable.
100769.61,4.24,1.86,19,30.0,4.47,92.68,10.0,1,1,41036,Profil stable.
83476.51,4.58,2.41,4,48.0,1.34,82.01,12.0,1,1,37740,Profil stable.
74427.23000000001,1.62,2.9,15,54.0,2.93,71.58,0.0,0,0,50020,Profil stable.
83481.92000000001,4.9,2.29,18,59.0,8.67,53.43,13.0,1,1,19217,Profil stable.
43662.88,1.03,4.34,0,36.0,5.37,72.76,2.0,1,1,3760,Profil stable.
54086.44,3.11,4.1,4,60.0,3.55,97.8,15.0,1,1,6818,Profil stable.
60761.509999999995,1.55,3.25,3,40.0,2.78,61.58,4.0,0,0,50148,Profil stable.
66736.0,4.2,4.83,1,37.0,2.6,78.59,11.0,1,1,7512,Profil stable.
90047.17,2.93,2.59,4,45.0,1.46,80.57,10.0,1,1,37682,Profil stable.
75325.39,1.51,2.33,16,30.0,5.82,77.3,13.0,1,0,22658,Profil stable.
54154.6,1.81,2.02,14,58.0,2.2,90.34,11.0,0,0,48536,Profil stable.
66800.76,1.61,3.72,8,46.0,9.87,98.77,6.0,0,1,24680,Profil stable.
126691.22,3.41,2.88,7,44.0,5.81,60.87,0.0,0,0,17539,Profil stable.
46491.93,1.07,3.75,15,59.0,7.76,86.87,13.0,0,0,39209,Profil stable.
53601.22,3.97,2.49,5,38.0,6.16,82.44,1.0,1,1,36235,Profil stable.
37796.9,3.69,2.19,4,48.0,2.54,78.39,7.0,1,1,35198,Profil stable.
81317.40000000001,3.06,3.65,9,54.0,2.58,68.69,11.0,1,1,49387,Profil stable.
77205.2,4.26,4.05,14,30.0,3.35,61.23,20.0,1,1,33294,Profil stable.
64063.95,4.44,4.01,7,36.0,8.74,57.19,4.0,0,1,15683,Profil stable.
55140.0,5.0,3.0,7,45.0,5.53,0.0,0.0,0,0,302,Profil stable.
107102.59,3.18,2.15,12,30.0,8.17,58.47,19.0,0,1,4819,Profil stable.
86169.8,4.78,3.04,8,51.0,1.46,78.06,3.0,0,1,49730,Profil stable.
127832.90000000001,1.09,2.96,18,52.0,5.78,63.94,13.0,0,0,25398,Profil stable.
93363.26,2.51,3.77,8,38.0,8.34,89.75,7.0,0,1,43424,Profil stable.
106055.02,1.86,2.94,10,33.0,4.51,81.3,3.0,0,0,43528,Profil stable.
57860.21,4.56,1.4,11,38.0,4.26,57.11,19.0,1,1,21616,Profil stable.
96832.56,1.96,3.79,14,39.0,2.39,84.73,6.0,1,1,42971,Profil stable.
88540.43000000001,1.88,4.33,0,59.0,3.04,93.64,19.0,1,1,3412,Profil stable.
31924.140000000003,2.04,4.96,4,34.0,6.22,73.97,3.0,1,1,15139,Profil stable.
90654.35,2.2,2.25,12,58.0,4.05,57.39,13.0,0,0,17039,Profil stable.
114633.73000000001,4.02,1.26,6,53.0,4.14,85.87,6.0,0,1,11839,Profil stable.
118651.97,3.15,4.12,3,41.0,2.21,61.21,0.0,1,1,26263,Profil stable.
85059.72,4.22,1.15,1,47.0,4.78,99.65,2.0,1,0,28015,Profil stable.
107383.09000000001,3.26,2.19,18,54.0,5.38,51.92,1.0,0,0,39174,Profil stable.
98263.13,4.04,3.8,4,59.0,9.69,99.52,4.0,0,1,32253,Profil stable.
70305.95,3.82,4.14,14,54.0,9.07,51.48,10.0,1,1,21584,Profil stable.
58518.23,3.03,2.48,6,52.0,6.89,92.85,20.0,0,1,32559,Profil stable.
118271.56999999999,1.29,4.38,15,44.0,6.44,78.96,11.0,0,1,34395,Profil stable.
115179.23,2.53,4.7,19,39.0,7.1,77.52,3.0,1,1,14133,Profil stable.
57915.92,3.66,4.86,3,38.0,6.29,55.36,20.0,0,1,40347,Profil stable.
76575.97,3.65,2.07,4,35.0,6.64,59.79,19.0,1,1,33067,Profil stable.
93191.09999999999,4.89,2.1,17,37.0,9.05,72.42,8.0,1,1,12206,Profil stable.
65915.0,4.01,2.78,18,32.0,5.69,68.24,11.0,0,1,9092,Profil stable.
93700.93,4.34,3.87,10,30.0,6.17,70.75,16.0,0,1,49930,Profil stable.
86904.27,1.37,2.0,4,50.0,7.51,70.93,9.0,1,0,29871,Profil stable.
71418.08,1.16,2.66,18,55.0,4.91,94.14,3.0,0,0,45982,Profil stable.
53262.77,4.51,3.97,5,30.0,9.75,78.51,11.0,1,1,22061,Profil stable.
47141.83,4.85,4.11,19,31.0,6.88,78.07,11.0,1,1,28521,Profil stable.
94123.74,2.48,2.97,1,53.0,4.32,63.95,3.0,0,0,44888,Profil stable.
126788.7,2.3,4.19,20,32.0,4.5,86.66,14.0,0,1,37251,Profil stable.
84130.98999999999,2.07,2.47,16,59.0,2.65,62.49,3.0,0,0,45859,Profil stable.
106624.07,1.55,1.45,12,39.0,5.88,74.42,10.0,0,0,9353,Profil stable.
113607.9,1.83,1.62,20,35.0,4.17,85.85,7.0,0,0,11560,Profil stable.
77406.39,2.1,3.05,4,52.0,8.92,84.76,13.0,1,1,41140,Profil stable.
66167.62,2.62,4.67,5,36.0,7.06,87.17,10.0,1,1,22668,Profil stable.
49259.87,1.69,2.61,20,39.0,2.25,86.93,6.0,0,0,45178,Profil stable.
83591.68,3.75,1.41,10,49.0,3.47,50.27,7.0,1,0,20423,Profil stable.
100254.27,2.35,2.83,16,58.0,9.6,61.51,13.0,0,0,27568,Profil stable.
113116.48,1.9,1.67,9,31.0,6.51,73.45,11.0,0,0,22858,Profil stable.
104449.0,1.42,1.83,4,40.0,1.09,77.92,14.0,0,0,32815,Profil stable.
111518.44,3.37,4.98,4,39.0,9.04,62.23,1.0,1,1,15374,Profil stable.
61633.97,1.06,4.88,20,59.0,1.72,71.93,20.0,0,1,43218,Profil stable.
63795.35,4.36,3.91,7,40.0,5.69,89.13,16.0,1,1,7875,Profil stable.
75598.09000000001,1.61,2.11,11,36.0,6.8,98.62,9.0,0,0,8113,Profil stable.
123677.28000000001,4.93,2.17,10,44.0,6.09,70.57,18.0,1,1,45429,Profil stable.
94590.29999999999,3.97,1.77,15,37.0,9.72,61.31,8.0,1,0,44361,Profil stable.
61846.579999999994,2.28,4.95,4,55.0,7.95,62.27,3.0,0,0,25892,Profil stable.
118865.56999999999,4.41,4.39,19,31.0,4.55,79.52,12.0,0,1,14954,Profil stable.
93344.56999999999,2.53,4.01,2,42.0,9.7,74.26,7.0,0,1,601,Profil stable.
55150.44,4.53,4.16,15,36.0,8.32,88.45,1.0,0,1,6117,Profil stable.
97522.14,3.2,1.87,2,57.0,4.39,95.1,16.0,0,1,33512,Profil stable.
129849.45,3.39,1.97,2,56.0,5.48,61.93,3.0,1,0,30532,Profil stable.
131870.23,2.05,3.0,12,42.0,3.39,84.34,3.0,0,1,3492,Profil stable.
106267.22,4.66,3.35,14,46.0,3.64,97.1,20.0,1,1,10256,Profil stable.
74512.33,5.0,3.07,15,55.0,5.23,65.65,6.0,1,1,15309,Profil stable.
94425.87,1.41,4.52,2,34.0,4.24,67.67,10.0,1,1,43014,Profil stable.
95826.22,2.01,4.86,10,33.0,1.2,54.05,20.0,1,1,7892,Profil stable.
65709.79999999999,3.7,4.19,18,39.0,3.03,50.77,4.0,1,0,14176,Profil stable.
85909.39,2.51,3.17,5,51.0,2.59,77.26,6.0,1,0,9403,Profil stable.
34494.799999999996,1.15,3.53,4,46.0,3.05,60.4,11.0,1,1,43857,Profil stable.
101360.37,2.74,1.94,13,40.0,3.7,84.25,17.0,1,1,34595,Profil stable.
73859.81,4.15,2.32,10,52.0,9.91,96.84,19.0,1,1,1808,Profil stable.
126524.43000000001,2.21,4.49,1,51.0,1.97,92.86,7.0,0,1,33614,Profil stable.
93232.70000000001,1.99,4.22,3,57.0,2.69,58.06,16.0,0,1,12405,Profil stable.
82366.88,4.09,3.03,11,58.0,7.54,99.01,16.0,0,1,10966,Profil stable.
91215.53,2.65,4.22,2,38.0,5.09,61.49,14.0,1,1,11221,Profil stable.
63483.69,4.29,4.36,9,33.0,7.74,87.87,16.0,1,1,33135,Profil stable.
83797.44,2.27,3.43,7,34.0,7.13,82.94,18.0,1,1,33273,Profil stable.
105118.21,4.65,3.03,16,48.0,4.14,99.63,5.0,1,1,34066,Profil stable.
93866.36,3.27,3.79,12,30.0,8.49,57.03,14.0,0,1,2199,Profil stable.
86066.47,4.09,4.26,0,35.0,1.91,78.61,9.0,1,1,6596,Profil stable.
80707.68999999999,3.45,1.36,12,55.0,1.32,79.29,2.0,0,1,24230,Profil stable.
82868.74,4.47,1.69,7,41.0,6.93,64.72,4.0,0,0,18376,Profil stable.
39700.89,2.35,1.69,15,48.0,9.32,59.0,11.0,1,0,31056,Profil stable.
80775.93,4.84,2.87,16,42.0,3.12,82.73,7.0,0,1,761,Profil stable.
99353.59999999999,2.19,1.44,18,37.0,5.68,75.23,4.0,0,0,15353,Profil stable.
55101.03,1.42,1.3,1,56.0,2.53,88.54,4.0,0,0,48660,Profil stable.
80370.59,4.75,2.48,17,52.0,2.6,58.51,16.0,1,1,10724,Profil stable.
129355.86,3.66,3.0,10,49.0,6.8,97.25,15.0,1,1,20062,Profil stable.
74883.26,1.73,3.7,14,33.0,2.6,50.03,4.0,1,0,17624,Profil stable.
112483.48000000001,2.09,1.33,9,49.0,2.15,61.61,6.0,0,0,42140,Profil stable.
102678.57,4.91,2.72,16,40.0,4.28,66.86,14.0,1,1,17670,Profil stable.
111108.98999999999,1.94,1.1,18,41.0,8.85,72.77,8.0,0,0,38138,Profil stable.
60558.52,1.12,4.95,8,55.0,8.17,92.9,12.0,1,1,32488,Profil stable.
110091.41,1.71,1.54,1,47.0,4.31,92.81,20.0,1,0,21142,Profil stable.
131970.82,3.72,1.95,14,45.0,6.94,75.64,9.0,1,0,48704,Profil stable.
88390.99,2.86,2.65,14,50.0,9.56,98.43,9.0,1,0,4934,Profil stable.
77331.7,1.93,1.21,2,40.0,3.0,70.52,1.0,0,0,13764,Profil stable.
55689.66,2.54,3.52,20,44.0,3.4,75.47,14.0,0,1,13057,Profil stable.
59223.82,2.92,4.38,20,46.0,6.6,57.72,16.0,0,1,25674,Profil stable.
103188.92,2.03,4.04,19,31.0,7.93,86.66,20.0,1,1,47774,Profil stable.
52470.33,2.1,1.89,19,53.0,2.32,68.84,17.0,0,1,15746,Profil stable.
59189.58,1.09,4.42,5,42.0,5.66,60.07,14.0,1,1,12917,Profil stable.
62934.08,3.75,3.9,20,50.0,8.01,56.78,12.0,1,1,36734,Profil stable.
65389.91,2.39,2.67,14,55.0,6.65,66.7,2.0,1,0,15306,Profil stable.
63711.56,2.62,2.48,9,50.0,9.92,96.26,0.0,0,0,30898,Profil stable.
54670.0,4.2,4.0,12,45.0,5.53,0.0,0.0,0,0,11,Profil stable.
118321.55,1.57,4.82,13,58.0,9.89,52.52,5.0,0,0,3484,Profil stable.
49949.84,4.68,2.48,15,41.0,7.68,90.6,6.0,0,1,20013,Profil stable.
112115.43000000001,2.26,2.57,14,33.0,4.62,80.25,7.0,1,0,25785,Profil stable.
39310.369999999995,2.83,1.9,19,47.0,2.27,83.74,13.0,0,1,22613,Profil stable.
43287.87,4.19,2.13,1,44.0,3.08,90.84,14.0,1,1,36553,Profil stable.
60070.0,5.0,3.0,7,45.0,5.53,0.0,0.0,0,0,81,Profil stable.
120676.11,3.98,2.6,15,36.0,6.17,99.51,15.0,1,1,47916,Profil stable.
60091.19,1.91,4.39,15,52.0,2.48,81.66,3.0,1,1,25359,Profil stable.
105317.37999999999,4.7,2.91,11,58.0,6.82,92.34,14.0,0,1,1090,Profil stable.
61356.19,1.88,4.31,12,54.0,6.5,72.43,4.0,1,0,33246,Profil stable.
51011.89,1.69,3.49,14,33.0,2.42,80.78,15.0,0,1,10806,Profil stable.
98953.53000000001,2.45,1.21,13,30.0,2.71,90.48,11.0,1,1,44192,Profil stable.
41337.78,2.14,2.54,14,56.0,9.14,50.65,2.0,0,0,31118,Profil stable.
63089.850000000006,1.58,2.2,15,55.0,5.66,56.38,13.0,0,0,29225,Profil stable.
75121.62000000001,1.48,4.9,17,41.0,4.3,52.56,5.0,0,0,29482,Profil stable.
123141.38,4.05,1.85,5,36.0,4.52,89.74,3.0,0,1,12044,Profil stable.
117149.55,3.17,4.02,15,34.0,7.25,96.2,3.0,1,1,37270,Profil stable.
49245.590000000004,2.78,3.94,11,47.0,3.86,75.27,17.0,1,1,8118,Profil stable.
68049.5,4.17,4.77,18,59.0,5.89,85.22,6.0,1,1,14139,Profil stable.
107286.2,3.73,2.35,0,32.0,3.71,85.6,9.0,1,1,29510,Profil stable.
66180.16,1.81,2.65,15,55.0,3.69,56.24,5.0,1,0,26506,Profil stable.
77095.37,2.57,3.11,19,57.0,2.32,65.4,13.0,0,1,26515,Profil stable.
77127.23000000001,4.96,4.66,3,35.0,4.72,93.63,3.0,1,1,2757,Profil stable.
114892.81,3.08,1.08,1,42.0,8.41,98.9,7.0,0,0,12016,Profil stable.
59326.01,4.74,2.88,18,59.0,1.19,93.28,13.0,0,1,35493,Profil stable.
43163.380000000005,3.15,1.68,10,53.0,6.69,66.75,2.0,0,0,24520,Profil stable.
97564.12999999999,1.27,1.11,16,41.0,8.0,78.97,4.0,0,0,41046,Profil stable.
63842.869999999995,4.17,1.1,7,46.0,6.09,94.27,2.0,0,0,27969,Profil stable.
100347.31999999999,3.23,3.88,19,53.0,4.33,73.09,19.0,1,1,41161,Profil stable.
128175.53,3.49,3.78,10,53.0,1.78,74.25,15.0,1,1,41387,Profil stable.
57783.22,3.32,3.87,3,48.0,5.06,86.13,10.0,0,1,50101,Profil stable.
55218.130000000005,1.08,3.44,13,54.0,5.17,88.08,2.0,1,0,4004,Profil stable.
129204.31,4.51,1.92,2,58.0,4.49,70.0,16.0,0,1,27520,Profil stable.
61301.0,1.3,1.75,18,55.0,2.09,92.19,10.0,0,0,2068,Profil stable.
73384.55,2.28,5.0,20,50.0,1.99,74.94,7.0,1,1,8304,Profil stable.
52245.4,2.83,3.97,6,31.0,7.45,92.19,14.0,1,1,43073,Profil stable.
76187.98,1.02,3.72,11,43.0,8.97,60.59,18.0,0,0,22547,Profil stable.
53415.229999999996,3.89,1.69,0,32.0,1.45,52.42,3.0,0,0,2831,Profil stable.
74846.22,2.99,1.48,19,36.0,6.18,67.81,15.0,0,0,2445,Profil stable.
77245.45999999999,3.2,3.2,8,31.0,4.92,51.45,8.0,0,0,19363,Profil stable.
89414.94,4.5,3.25,15,31.0,9.04,65.14,20.0,1,1,11524,Profil stable.
108146.94,3.73,2.01,3,31.0,8.22,66.03,3.0,1,0,28356,Profil stable.
75373.09,1.78,1.84,11,38.0,1.33,79.4,6.0,1,0,21802,Profil stable.
124687.32999999999,3.01,3.22,0,34.0,4.26,82.08,6.0,0,1,12781,Profil stable.
133188.49,2.93,2.86,3,40.0,3.06,51.75,11.0,1,1,49965,Profil stable.
130424.83,3.0,2.36,18,59.0,8.74,62.58,2.0,0,0,36623,Profil stable.
100035.76,1.67,2.94,14,59.0,6.66,82.63,6.0,1,0,12050,Profil stable.
46532.36,3.42,3.23,11,42.0,4.37,79.07,19.0,0,1,42373,Profil stable.
46803.009999999995,1.7,4.2,17,52.0,9.03,67.95,12.0,0,1,41211,Profil stable.
87704.1,3.9,3.36,18,41.0,6.5,97.98,19.0,1,1,48999,Profil stable.
72965.09,2.97,3.14,18,57.0,3.04,57.09,9.0,0,1,1204,Profil stable.
51035.68,1.28,4.47,0,55.0,3.48,79.69,20.0,0,1,45753,Profil stable.
73011.94,3.25,3.7,4,33.0,1.38,81.86,5.0,0,1,24214,Profil stable.
98060.66,4.17,4.77,8,35.0,8.61,60.72,12.0,0,1,34866,Profil stable.
72162.92,3.1,2.17,9,41.0,2.88,77.0,15.0,0,1,6861,Profil stable.
107013.7,2.18,4.88,4,35.0,2.41,51.85,1.0,1,0,21913,Profil stable.
112578.66,4.52,4.02,9,34.0,3.46,85.81,3.0,1,1,49418,Profil stable.
95703.0,4.65,1.41,13,60.0,2.3,62.92,12.0,1,1,20753,Profil stable.
67050.98,2.27,1.84,9,45.0,5.04,75.5,2.0,0,0,3730,Profil stable.
135521.72,2.27,1.32,13,50.0,5.32,59.09,17.0,1,0,12423,Profil stable.
116902.73,3.33,1.72,3,34.0,2.09,60.32,5.0,0,0,38255,Profil stable.
68404.31,1.78,3.64,20,40.0,1.36,80.21,17.0,0,1,44753,Profil stable.
58116.59,4.74,2.4,4,57.0,8.44,98.04,10.0,1,1,8800,Profil stable.
107016.81,3.89,4.83,17,53.0,9.49,92.54,3.0,1,1,38150,Profil stable.
90240.25,2.56,4.33,10,59.0,7.84,98.99,0.0,0,1,4455,Profil stable.
76109.26999999999,1.8,4.22,7,60.0,5.85,79.13,3.0,0,0,30669,Profil stable.
124517.94,4.03,2.8,9,36.0,3.09,53.04,6.0,1,0,15555,Profil stable.
84295.05,4.94,3.71,16,47.0,7.22,63.58,17.0,1,1,24367,Profil stable.
119322.58,3.63,4.46,14,35.0,7.8,61.19,19.0,1,1,8411,Profil stable.
94183.79000000001,3.99,3.86,2,45.0,6.09,98.19,11.0,0,1,680,Profil stable.
51343.34,3.25,2.56,20,38.0,6.55,98.42,9.0,0,1,9877,Profil stable.
65389.75,4.45,1.22,7,36.0,5.77,69.11,6.0,1,0,18409,Profil stable.
117314.97,2.09,1.76,10,35.0,1.85,58.97,3.0,0,0,24148,Profil stable.
39749.0,1.63,1.03,9,50.0,2.72,64.9,5.0,0,0,19074,Profil stable.
110814.42,4.01,2.23,5,32.0,4.52,90.72,18.0,1,1,30280,Profil stable.
